Name,Outlet,Years
Paul Krugman,Fortune,2
Paul Krugman,Slate,3
Paul Krugman,Harvard Business Review,13
Paul Krugman,Foreign Policy,1
Paul Krugman,Foreign Affairs,6
Paul Krugman,The New York Times,19
David Brooks,National Review,1
David Brooks,The Washington Times,1
David Brooks,The Wall Street Journal,8
David Brooks,The Weekly Standard,9
David Brooks,The New York Times,16
Bret Stephens,The Wall Street Journal,17
Bret Stephens,Commentary,1
Bret Stephens,Jerusalem Post,2
Bret Stephens,The New York Times,2
Charles Blow,The New York Times,11
Charles Blow,National Geographic,1
Nicholas Kristof,The New York Times,35
Nicholas Kristof,The Harvard Crimson,1
Thomas Edsall,The New York Times,8
Thomas Edsall,The Washington Post,25
Thomas Edsall,The Baltimore Sun,14
Thomas Edsall,Huffington Post,2
Thomas Edsall,The New Republic,7
Thomas Edsall,National Journal,1
Frank Bruni,The New York Times,24
Frank Bruni,The Daily Tar Heel,1
Ross Douthat,The Harvard Crimson,1
Ross Douthat,The Harvard Salient,1
Ross Douthat,The New York Times,10
Ross Douthat,The Atlantic,7
Ross Douthat,The Wall Street Journal,1
Ross Douthat,The Weekly Standard,1
Ross Douthat,Claremont Review of Books,1
Ross Douthat,GQ,1
Ross Douthat,Slate,1
Ross Douthat,National Review,11
Thomas Friedman,United Press International,2
Thomas Friedman,The New York Times,38
Gail Collins,The New York Times,24
Gail Collins,Hartford Advocate,1
Gail Collins,Connecticut Business Journal,3
Gail Collins,United Press International,3
Gail Collins,New York Daily News,6
Gail Collins,Newsday,4
Michelle Goldberg,Salon,2
Michelle Goldberg,The Nation,2
Michelle Goldberg,The American Prospect,1
Michelle Goldberg,The Daily Beast,1
Michelle Goldberg,Slate,1
Michelle Goldberg,The New Republic,1
Michelle Goldberg,Rolling Stone,1
Michelle Goldberg,Glamour,1
Michelle Goldberg,The Guardian,1
Michelle Goldberg,The New York Times,2
David Leonhardt,Yale Daily News,1
David Leonhardt,Business Week,1
David Leonhardt,The New York Times,16
Roger Cohen,Paris Metro,3
Roger Cohen,Reuters,3
Roger Cohen,The Wall Street Journal,7
Roger Cohen,The New York Times,29
Roger Cohen,International Herald Tribune,15
Jennifer Senior,The New York Times,4
Jennifer Senior,New York Magazine,10
Jamelle Bouie,The American Prospect,1
Jamelle Bouie,The Daily Beast,1
Jamelle Bouie,Slate,5
Jamelle Bouie,The New York Times,1
Farhad Manjoo,Cornell Daily Sun,1
Farhad Manjoo,Wired,2
Farhad Manjoo,Salon,3
Farhad Manjoo,Slate,5
Farhad Manjoo,The Wall Street Journal,1
Farhad Manjoo,The New York Times,5
Maureen Dowd,Washington Star,7
Maureen Dowd,Time,2
Maureen Dowd,The New York Times,36
Bari Weiss,The New York Times,2
Bari Weiss,Tablet,2
Bari Weiss,The Wall Street Journal,4
Radley Balko,The Huffington Post,4
Radley Balko,The Washington Post,6
Radley Balko,Reason,5
Radley Balko,Fox News,7
Radley Balko,The Wall Street Journal,1
Radley Balko,Forbes,1
Radley Balko,Playboy,1
Radley Balko,Time,1
Radley Balko,Los Angeles Times,1
Radley Balko,Slate,1
Radley Balko,Worth,1
Radley Balko,National Post,1
Radley Balko,Chicago Tribune,1
Max Boot,The Daily Californian,1
Max Boot,Commentary,12
Max Boot,Christian Science Monitor,2
Max Boot,The Wall Street Journal,8
Max Boot,The New York Post,1
Max Boot,The Times,1
Max Boot,Financial Times,1
Max Boot,International Herald Tribune,1
Max Boot,Newsweek,1
Max Boot,The Boston Globe,1
Max Boot,The New York Times,1
Max Boot,The Weekly Standard,1
Max Boot,The Washington Post,4
Max Boot,Foreign Policy,4
Elizabeth Bruenig,The New Republic,2
Elizabeth Bruenig,The Washington Post,2
Elizabeth Bruenig,The Atlantic,1
E. J. Dionne,The Washington Post,26
E. J. Dionne,Commonweal,30
E. J. Dionne,The New York Times,4
Hugh Hewitt,The Weekly Standard,1
Hugh Hewitt,The Washington Post,3
Fred Hiatt,Atlanta Journal,1
Fred Hiatt,Washington Star,2
Fred Hiatt,The Washington Post,38
Charles Lane,Newsweek,1
Charles Lane,The New Republic,2
Charles Lane,The Washington Post,19
Ruth Marcus,National Law Journal,1
Ruth Marcus,The Washington Post,35
Megan McArdle,The Economist,4
Megan McArdle,The Atlantic,5
Megan McArdle,Newsweek,1
Megan McArdle,The Daily Beast,1
Megan McArdle,Bloomberg News,6
Megan McArdle,The Washington Post,2
Dana Milbank,The New Republic,8
Dana Milbank,The Wall Street Journal,8
Dana Milbank,The Washington Post,19
Kathleen Parker,Charleston Evening Post,1
Kathleen Parker,Time,1
Kathleen Parker,The Weekly Standard,1
Kathleen Parker,Cosmopolitan,1
Kathleen Parker,USA Today,1
Kathleen Parker,The Daily Beast,1
Kathleen Parker,The Washington Post,12
Alexandra Petri,The Harvard Crimson,1
Alexandra Petri,The Washington Post,9
Alyssa Rosenberg,ThinkProgress,3
Alyssa Rosenberg,Slate,1
Alyssa Rosenberg,The Atlantic,1
Alyssa Rosenberg,Washingtonian,1
Alyssa Rosenberg,The New York Times,1
Alyssa Rosenberg,New York Magazine,1
Alyssa Rosenberg,The Daily Beast,1
Alyssa Rosenberg,The New Republic,1
Alyssa Rosenberg,Salon,1
Alyssa Rosenberg,The Washington Post,3
Alyssa Rosenberg,Foreign Policy,1
Greg Sargent,The Washington Post,9
Greg Sargent,Talking Points Memo,1
Greg Sargent,New York Magazine,1
Greg Sargent,New York Observer,1
Joe Scarborough,The Washington Post,2
Marc Thiessen,The Washington Post,9
Karen Tumulty,Los Angeles Times,14
Karen Tumulty,Time,16
Karen Tumulty,The Washington Post,9
Jennifer Rubin,The Weekly Standard,2
Jennifer Rubin,Commentary,3
Jennifer Rubin,The Washington Post,9
Katrina vanden Heuvel,Nassau Weekly,1
Katrina vanden Heuvel,National Lampoon,1
Katrina vanden Heuvel,The Nation,35
Katrina vanden Heuvel,The Washington Post,4
Katrina vanden Heuvel,Los Angeles Times,1
Katrina vanden Heuvel,The New York Times,1
Katrina vanden Heuvel,The Boston Globe,1
George Will,National Review,6
George Will,The Washington Post,45
George Will,Newsweek,35
Fareed Zakaria,Foreign Affairs,8
Fareed Zakaria,Newsweek,10
Fareed Zakaria,Time,9
Fareed Zakaria,The Washington Post,3
Fareed Zakaria,The Atlantic,1
Fareed Zakaria,The New York Times,1
Fareed Zakaria,The Wall Street Journal,1
Fareed Zakaria,The New Yorker,1
Fareed Zakaria,The New Republic,1
Fareed Zakaria,Slate,1